MinReturn,MaxReturn,ItrTime,LossAfter,PctReceivedReward,Time,Perplexity,MeanKL,NumTrajs,AverageTimeInAir,dLoss,LossBefore,StdReturn,AverageDiscountedReturn,MaxTimeInAir,AverageReturn,MeanKLBefore,AveragePolicyStd,Entropy,ExplainedVariance,PctPicked,Iteration
0.0,0.6674734670353686,9.845205545425415,-0.04506750777363777,1.47,9.845205068588257,20590.2,0.013130550272762775,1021,0.00039177277179236047,0.04506711987417589,-3.8789946188444446e-07,0.036120198606743543,0.0026454140772408387,0.07,0.0034878795973574545,0.0,1.0,9.93257,3.431404715270592e-05,0.0,0
0.0,0.9525967829760544,8.95683741569519,-0.07216040790081024,1.38,18.80545401573181,20305.32,0.019685421139001846,1018,0.0003831041257367387,0.07216040639271581,-1.5080944271161911e-09,0.03947049853983264,0.0023227962667058057,0.11,0.0033548491103581254,0.0,0.9980132,9.918638,0.005602693088856969,0.0,1
0.0,0.49286730174762794,8.961652755737305,-0.058448344469070435,1.37,27.770682334899902,20450.082,0.019562682136893272,1019,0.000323846908734053,0.05844833126071425,-1.3208356186567016e-08,0.028076843086736823,0.002010367332851911,0.05,0.0029043751605731375,0.0,0.9990342,9.925742,0.002274092396645444,0.0,2
0.0,0.7580296365765121,8.995580911636353,-0.11277748644351959,1.76,36.769094944000244,20593.242,0.01955253630876541,1023,0.00042033235581622684,0.11277748658252132,1.3900172679548461e-10,0.03532886399836603,0.002848973637943454,0.08,0.003689647133082888,0.0,1.0000417,9.932718,0.006865013504149364,0.0,3
0.0,0.5081431666737856,9.185335874557495,-0.050553806126117706,1.76,45.95803475379944,20752.996,0.012900618836283684,1024,0.000361328125,0.05055380791038566,1.784267955606822e-09,0.02849233906668587,0.0023276885654344324,0.06,0.00307755859423198,0.0,1.0011361,9.940446,0.0040351860767817715,0.0,4
0.0,0.6489271455826215,9.096946239471436,-0.036936014890670776,1.86,55.05835151672363,20761.35,0.01284766849130392,1023,0.0006158357771260997,0.03693601235196553,-2.5387052460246196e-09,0.04864816027989394,0.0042368811668222865,0.07,0.005614894518679406,0.0,1.0012032,9.940848,0.0061666980674747185,0.0,5
0.0,0.9352448025358693,9.126255989074707,-0.03819861635565758,1.57,64.18776988983154,20629.234,0.0197663102298975,1020,0.0004313725490196078,0.038198608481103236,-7.874554341924522e-09,0.04004215955152169,0.0025733603598797543,0.1,0.003810652576772402,0.0,1.0002865,9.934464,-0.0010120847006904743,0.0,6
0.0,0.9369971563965769,9.1604323387146,-0.0528218038380146,1.86,73.35113501548767,20444.64,0.019655561074614525,1024,0.000517578125,0.05282179582068114,-8.017333463783416e-09,0.04495357682388785,0.0037201682824361195,0.09,0.0047530429314879205,0.0,0.9990165,9.925476,0.004323649499538895,0.0,7
0.0,0.7071141926667179,8.960081100463867,-0.05386906489729881,1.28,82.31479239463806,19969.537,0.01936708576977253,1019,0.0003827281648675172,0.05386906504169563,1.4439681395028714e-10,0.03699930049619776,0.002510789657191315,0.08,0.0032829778945207794,0.0,0.99567044,9.901963,0.002818487053202645,0.0,8
0.0,0.6473387542702282,9.382798433303833,-0.03350021690130234,1.86,91.70100975036621,19705.156,0.012834056280553341,1022,0.00046966731898238743,0.03350023308368577,1.618238343326084e-08,0.03907338490750598,0.003026220691807444,0.07,0.004287803024860556,0.0,0.9937765,9.888636,0.005434222528756694,0.0,9
0.0,0.48000249974213327,9.197880268096924,-0.0443083755671978,1.95,100.9018943309784,19305.107,0.012850509025156498,1024,0.00052734375,0.04430837794140485,2.374207053179589e-09,0.036690592068389885,0.0034734121443945037,0.05,0.0046464928724422525,0.0,0.9908772,9.868125,0.008983642593864638,0.0,10
0.0,0.9857812160873387,9.07324481010437,-0.051173873245716095,2.91,109.97958946228027,19181.637,0.01947091892361641,1030,0.0010679611650485437,0.051173888437432424,1.5191716329354676e-08,0.07283508584407748,0.0071346773769374915,0.11,0.009763243146956983,0.0,0.9899766,9.861709,0.010219746969244548,0.0,11
0.0,0.677269553374209,9.142998933792114,-0.0487399697303772,2.05,119.12633466720581,18965.578,0.019338306039571762,1025,0.0006634146341463414,0.04873997350162984,3.771252643502976e-09,0.05040631054659991,0.004670673419426282,0.06,0.006262818945020665,0.0,0.9883534,9.850381,-0.000798007076883378,0.0,12
0.0,0.9931790303146517,9.220026016235352,-0.0620383583009243,1.86,128.3499937057495,18934.926,0.01284119114279747,1024,0.0005566406250000001,0.062038352986911516,-5.314012785362365e-09,0.05062960554992941,0.004089907985275818,0.1,0.005136245866317119,0.0,0.98811036,9.848763,0.003171178895176374,0.0,13
0.0,0.9251242479371712,9.27226734161377,-0.05431409552693367,2.53,137.62558817863464,18856.447,0.019629765301942825,1029,0.0008066083576287659,0.05431410005210502,4.525171348745971e-09,0.06052955318891567,0.005962359431643808,0.09,0.007658241818428836,0.0,0.98753726,9.84461,0.012335580552429781,0.0,14
0.0,1.5297941621780566,9.434861421585083,-0.052889633923769,2.82,147.06413912773132,18797.037,0.019962158054113388,1029,0.0008163265306122448,0.05288962597973246,-7.944036539697663e-09,0.07214147563652892,0.005923081053945699,0.12,0.007901727832378204,0.0,0.987106,9.8414545,0.013216860130724317,0.0,15
0.0,0.8172309765301785,9.065427780151367,-0.040111735463142395,1.76,156.13314938545227,18433.469,0.01285899430513382,1023,0.0004496578690127077,0.04011174605624834,1.05931059479758e-08,0.037480324122093026,0.002831300362804325,0.09,0.003944635168645657,0.0,0.984346,9.821923,-0.013199452341706275,0.0,16
0.0,0.6537754370577189,9.334083557128906,-0.05167488381266594,2.05,165.47026300430298,18413.334,0.019448379054665565,1023,0.0005669599217986316,0.051674882596593474,-1.2160724649490362e-09,0.042544296306855384,0.0036211161928241357,0.07,0.005037048367118538,0.0,0.9842108,9.82083,0.002878907948630216,0.0,17
0.0,0.9107022933330775,9.46677017211914,-0.05114053934812546,1.76,174.9399356842041,18412.912,0.012953386642038822,1023,0.00045943304007820137,0.051140532433107566,-6.91501789162885e-09,0.04030382239071554,0.0031272972750008565,0.09,0.004128186464143139,0.0,0.9842281,9.820807,0.003501980857179454,0.0,18
0.0,0.6261958883329297,9.038103818893433,-0.055996667593717575,3.76,183.9816255569458,18300.748,0.018969571217894554,1036,0.0012548262548262548,0.05599667028016908,2.686451505695686e-09,0.06546621724868172,0.008667002195986234,0.07,0.011336043997751495,0.0,0.9833561,9.814697,0.010954640817508854,0.0,19
0.0,0.6014633891913854,9.192377805709839,-0.047632548958063126,2.82,193.1775267124176,18373.234,0.01920408196747303,1030,0.000766990291262136,0.0476325522469041,3.288840977333507e-09,0.049034579237594564,0.005293722890847137,0.07,0.0070964474688811705,0.0,0.98390406,9.81865,0.007880625706665478,0.0,20
0.0,0.5813314243644082,9.025054693222046,-0.042503632605075836,2.72,202.20558977127075,18428.494,0.012868466787040234,1030,0.0007572815533980582,0.04250363852309169,5.918015855144176e-09,0.04618872436510985,0.005293427799054257,0.06,0.006719265553261784,0.0,0.9843163,9.821653,0.00796270332829807,0.0,21
0.0,0.5507624003293785,9.40706753730774,-0.055062465369701385,2.15,211.61549639701843,18759.5,0.019827567040920258,1025,0.0005073170731707317,0.05506245988463654,-5.485064846766363e-09,0.03395242149371223,0.003245960608721851,0.06,0.0044680339041947735,0.0,0.9868286,9.839456,-0.0027358949018028156,0.0,22
0.0,0.9222387394766597,9.299530982971191,-0.18582738935947418,1.95,220.91866993904114,18898.27,0.01956595852971077,1025,0.0005951219512195122,0.18582739180785035,2.4483761684734873e-09,0.05185612181910515,0.004246516904933257,0.1,0.005382939802387879,0.0,0.98788685,9.846826,0.0064572030053886564,0.0,23
0.0,0.687796758209875,9.114377975463867,-0.04171713441610336,3.48,230.03663206100464,19340.34,0.019605815410614014,1034,0.0008510638297872341,0.04171712010947903,-1.4306624329663009e-08,0.04919954856263069,0.005781920435427383,0.08,0.007493820352294663,0.0,0.9911398,9.869948,0.014039409472867415,0.0,24
0.0,1.7252933932977144,9.216102123260498,-0.6397628784179688,3.0,239.25612592697144,19242.924,0.019225463271141052,1032,0.000988372093023256,0.6397628895186456,1.110067682219551e-08,0.07444967425247997,0.007024102171214498,0.14,0.00929023948601317,0.0,0.99041295,9.864899,0.012921753798629365,0.0,25
0.0,0.7655464340805025,9.207313060760498,-0.056469205766916275,3.1,248.4675190448761,19490.857,0.01947079226374626,1032,0.0008042635658914728,0.0564692049559527,-8.109635740716215e-10,0.048918442199697425,0.005526052590295469,0.09,0.007244824463021721,0.0,0.99223274,9.877701,-0.003809661975674672,0.0,26
0.0,0.7888208888400969,9.189378499984741,-0.05861945077776909,2.72,257.6597511768341,19334.955,0.019542431458830833,1030,0.0008155339805825243,0.05861945241744482,1.639675728526413e-09,0.05412129688261032,0.005647448984291457,0.09,0.00739017405082692,0.0,0.99109864,9.86967,0.01224921682446567,0.0,27
0.0,0.6857530337402951,9.074301958084106,-0.050090137869119644,3.0,266.73702096939087,19263.654,0.012872958555817604,1033,0.0006679574056147144,0.05009014171439041,3.845270768465525e-09,0.04400239910799062,0.004915145306902149,0.07,0.006150745428163339,0.0,0.99063885,9.865975,0.014959506793465582,0.0,28
0.0,2.3019701400158237,9.26702618598938,-0.11225084960460663,2.91,276.008989572525,19088.822,0.019395196810364723,1031,0.0010184287099903008,0.11225085367949283,4.07488620624008e-09,0.08750829707990959,0.007225725319673702,0.2,0.009517441275605018,0.0,0.9893195,9.856858,0.007733853984851047,0.0,29
0.0,1.6288684570713357,8.991830110549927,-0.07443246990442276,3.76,285.004754781723,19094.213,0.019237356260418892,1036,0.0011196911196911198,0.07443247522441343,5.319990670216157e-09,0.07253650595906598,0.0077002717581866635,0.18,0.009926331002641906,0.0,0.98937505,9.857141,0.011774890841936059,0.0,30
0.0,0.8644914087850859,9.258321523666382,-0.04329670965671539,2.9,294.2664806842804,18918.861,0.013017523102462292,1033,0.0008712487899322362,0.043296708614927515,-1.0417878781865397e-09,0.0576241461618003,0.00644837667886696,0.09,0.007800217834386957,0.0,0.9880524,9.847915,0.013753176807523526,0.0,31
0.0,0.8205453344402776,9.269598722457886,-0.04264390468597412,3.1,303.5401360988617,18464.277,0.012843300588428974,1032,0.0009786821705426358,0.04264390815361563,3.4676415072709688e-09,0.06205836894840531,0.006951670643466952,0.08,0.008902786040182254,0.0,0.9846254,9.823593,0.01439306827460718,0.0,32
0.0,1.06114676779983,9.35138726234436,-0.1367156058549881,3.01,312.89442110061646,18353.586,0.019954359158873558,1031,0.000775945683802134,0.13671561410673494,8.251746841381191e-09,0.05390750785623511,0.005429426332344527,0.08,0.007276193607486247,0.0,0.98380244,9.81758,0.007589881862257064,0.0,33
0.0,1.135713002679001,9.055780410766602,-0.03479507938027382,3.1,321.95393466949463,18490.11,0.012863085605204105,1033,0.000909970958373669,0.034795073658492104,-5.721781715095631e-09,0.06342204461526099,0.00659894888947203,0.09,0.008459289141269836,0.0,0.9848462,9.824991,0.011967808411333825,0.0,34
0.0,0.8714134675850862,9.23027229309082,-0.051049936562776566,2.91,331.18782663345337,18469.49,0.019383685663342476,1030,0.0007475728155339806,0.051049931531269355,-5.031507210873087e-09,0.05308573470439454,0.005115703288663253,0.09,0.006795545286362623,0.0,0.9847333,9.823875,0.005424119046376963,0.0,35
0.0,0.579583313699656,9.237461805343628,-0.06956961005926132,2.82,340.42810821533203,18947.934,0.01986740715801716,1030,0.0007864077669902913,0.06956959908330429,-1.0975957032144379e-08,0.051382282453232765,0.005384202424067323,0.06,0.007175705960873531,0.0,0.98832905,9.84945,0.008380777996592426,0.0,36
0.0,0.7178420052843765,9.138993740081787,-0.051829416304826736,3.39,349.5712983608246,19126.672,0.01284727081656456,1033,0.0007938044530493709,0.05182941686156567,5.567389327332251e-10,0.04735002874695335,0.005412100292192814,0.07,0.00722450251692459,0.0,0.98968315,9.858839,0.0136389091055088,0.0,37
0.0,1.0364840454842439,9.19958758354187,-0.06596790254116058,3.0,358.7737147808075,19027.154,0.019596494734287262,1033,0.0009970958373668925,0.0659678867198874,-1.582127318044968e-08,0.07192632986954434,0.007613527255700654,0.1,0.009343030557676223,0.0,0.9889447,9.853622,0.015660756191676617,0.0,38
0.0,1.0300444983861572,9.187215089797974,-0.0604255311191082,4.23,367.96464562416077,18905.154,0.019242040812969208,1041,0.0012007684918347744,0.060425532163511875,1.044403674654859e-09,0.06838671366648125,0.008525803811102869,0.11,0.010970784284353174,0.0,0.9880156,9.84719,0.007070065829335115,0.0,39
0.0,1.0644842899492986,9.59065556526184,-0.08102602511644363,3.76,377.55818724632263,18550.656,0.01944687031209469,1038,0.0011560693641618498,0.08102601561589307,-9.500550568475319e-09,0.06951359173202848,0.008110985283017678,0.11,0.010389012640416636,0.0,0.9854726,9.82826,0.00916705818954311,0.0,40
0.0,1.0718269434497132,9.341157674789429,-0.06414490938186646,3.57,386.90235209465027,19060.117,0.01989046297967434,1036,0.0011196911196911198,0.0641449103522781,9.704116399333884e-10,0.06740340181856853,0.008069469372794536,0.08,0.010519503014679153,0.0,0.9893268,9.855353,0.01422906454072137,0.0,41
0.0,0.8236380938662083,9.152206420898438,-0.05883590131998062,4.42,396.05806493759155,18907.354,0.019183862954378128,1040,0.0012596153846153846,0.05883590480949308,3.4895124567668745e-09,0.0669109041670025,0.008714092097045186,0.09,0.0115056887508213,0.0,0.9882484,9.847306,0.019927714915536576,0.0,42
